model,feature_count,cv_accuracy,cv_balanced_accuracy,cv_precision,cv_recall,cv_f1,cv_roc_auc,cv_average_precision,test_accuracy,test_balanced_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_average_precision
catboost,117,0.8494852680156195,0.7836854694556674,0.7536560443677048,0.6434783891746009,0.6940989985427594,0.9058151395824993,0.7929722419504781,0.8687012065294535,0.8073174197215118,0.7981072555205048,0.6764705882352942,0.7322720694645442,0.9233924927019556,0.8384935775807487
linear_logistic,117,0.8429179978700745,0.7851938823060932,0.7230432348446326,0.6621999018116554,0.6911108722066168,0.9022559423080999,0.777868159596863,0.8644428672817601,0.8086879020382857,0.7747747747747747,0.6898395721925134,0.7298444130127298,0.9181766514247333,0.8224996879618774
lgbm,117,0.8459353922612709,0.78020427651788,0.7437169659970272,0.6401397171853748,0.6879315103414535,0.9019508653063126,0.7848096463483191,0.8665720369056068,0.805868144359193,0.790625,0.6764705882352942,0.729106628242075,0.9259242036735642,0.8392835377932235
svm_linear,117,0.8438054668086616,0.7864381904733347,0.7247039022136635,0.6642052511985148,0.6929651238662725,0.900731465843144,0.7772573405210368,0.8616039744499645,0.8059017282802449,0.7671641791044777,0.6871657754010695,0.7249647390691114,0.9161254488620217,0.8214851108574068
xgb,117,0.8496627618033369,0.7921375154330694,0.739762528503967,0.6695640276537009,0.7027915766221723,0.9016814515226178,0.7884738339489586,0.8608942512420156,0.8037110232762407,0.7680722891566265,0.6818181818181818,0.7223796033994334,0.9227130641452893,0.8346892979368707
random_forest,117,0.8461128860489883,0.7807520017682604,0.7436896576399395,0.6414770639002234,0.6884505824992967,0.9013186043647599,0.7860183822756185,0.8573456352022711,0.7876346586065256,0.7836065573770492,0.6390374331550802,0.7039764359351989,0.913287607533132,0.8205772776446785
